65118,fe5e,D,Patch 65118,SAID Patch ,Interop ,System Assigned ID Patch ,2
65119,fe5f,D,Patch 65119,SAID Patch ,Interop ,System Assigned ID Patch ,2
65120,fe60,D,Patch 65120,SAID Patch ,Interop ,System Assigned ID Patch ,2
65121,fe61,D,Patch 65121,SAID Patch ,Interop ,System Assigned ID Patch ,2
65122,fe62,D,Patch 65122,SAID Patch ,Interop ,System Assigned ID Patch ,2
65123,fe63,D,Patch 65123,SAID Patch ,Interop ,System Assigned ID Patch ,2
65124,fe64,D,Patch 65124,SAID Patch ,Interop ,System Assigned ID Patch ,2
65125,fe65,D,Patch 65125,SAID Patch ,Interop ,System Assigned ID Patch ,2
65126,fe66,D,Patch 65126,SAID Patch ,Interop ,System Assigned ID Patch ,2
65127,fe67,D,Patch 65127,SAID Patch ,Interop ,System Assigned ID Patch ,2
65128,fe68,D,Patch 65128,SAID Patch ,Interop ,System Assigned ID Patch ,2
65129,fe69,D,Patch 65129,SAID Patch ,Interop ,System Assigned ID Patch ,2
65130,fe6a,D,Patch 65130,SAID Patch ,Interop ,System Assigned ID Patch ,2
65131,fe6b,D,Patch 65131,SAID Patch ,Interop ,System Assigned ID Patch ,2
65132,fe6c,D,Patch 65132,SAID Patch ,Interop ,System Assigned ID Patch ,2
65133,fe6d,D,Patch 65133,SAID Patch ,Interop ,System Assigned ID Patch ,2
65134,fe6e,D,Patch 65134,SAID Patch ,Interop ,System Assigned ID Patch ,2
65135,fe6f,D,Patch 65135,SAID Patch ,Interop ,System Assigned ID Patch ,2
65136,fe70,D,Patch 65136,SAID Patch ,Interop ,System Assigned ID Patch ,2
65137,fe71,D,Patch 65137,SAID Patch ,Interop ,System Assigned ID Patch ,2
65138,fe72,D,Patch 65138,SAID Patch ,Interop ,System Assigned ID Patch ,2
65139,fe73,D,Patch 65139,SAID Patch ,Interop ,System Assigned ID Patch ,2
65140,fe74,D,Patch 65140,SAID Patch ,Interop ,System Assigned ID Patch ,2
65141,fe75,D,Patch 65141,SAID Patch ,Interop ,System Assigned ID Patch ,2
65142,fe76,D,Patch 65142,SAID Patch ,Interop ,System Assigned ID Patch ,2
65143,fe77,D,Patch 65143,SAID Patch ,Interop ,System Assigned ID Patch ,2
65144,fe78,D,Patch 65144,SAID Patch ,Interop ,System Assigned ID Patch ,2
65145,fe79,D,Patch 65145,SAID Patch ,Interop ,System Assigned ID Patch ,2
65146,fe7a,D,Patch 65146,SAID Patch ,Interop ,System Assigned ID Patch ,2
65147,fe7b,D,Patch 65147,SAID Patch ,Interop ,System Assigned ID Patch ,2
65148,fe7c,D,Patch 65148,SAID Patch ,Interop ,System Assigned ID Patch ,2
65149,fe7d,D,Patch 65149,SAID Patch ,Interop ,System Assigned ID Patch ,2
65150,fe7e,D,Patch 65150,SAID Patch ,Interop ,System Assigned ID Patch ,2
65151,fe7f,D,Patch 65151,SAID Patch ,Interop ,System Assigned ID Patch ,2
65152,fe80,D,Patch 65152,SAID Patch ,Interop ,System Assigned ID Patch ,2
65153,fe81,D,Patch 65153,SAID Patch ,Interop ,System Assigned ID Patch ,2
65154,fe82,D,Patch 65154,SAID Patch ,Interop ,System Assigned ID Patch ,2
65155,fe83,D,Patch 65155,SAID Patch ,Interop ,System Assigned ID Patch ,2
65156,fe84,D,Patch 65156,SAID Patch ,Interop ,System Assigned ID Patch ,2
65157,fe85,D,Patch 65157,SAID Patch ,Interop ,System Assigned ID Patch ,2
65158,fe86,D,Patch 65158,SAID Patch ,Interop ,System Assigned ID Patch ,2
65159,fe87,D,Patch 65159,SAID Patch ,Interop ,System Assigned ID Patch ,2
65160,fe88,D,Patch 65160,SAID Patch ,Interop ,System Assigned ID Patch ,2
65161,fe89,D,Patch 65161,SAID Patch ,Interop ,System Assigned ID Patch ,2
65162,fe8a,D,Patch 65162,SAID Patch ,Interop ,System Assigned ID Patch ,2
65163,fe8b,D,Patch 65163,SAID Patch ,Interop ,System Assigned ID Patch ,2
65164,fe8c,D,Patch 65164,SAID Patch ,Interop ,System Assigned ID Patch ,2
65165,fe8d,D,Patch 65165,SAID Patch ,Interop ,System Assigned ID Patch ,2
65166,fe8e,D,Patch 65166,SAID Patch ,Interop ,System Assigned ID Patch ,2
65167,fe8f,D,Patch 65167,SAID Patch ,Interop ,System Assigned ID Patch ,2
65168,fe90,D,Patch 65168,SAID Patch ,Interop ,System Assigned ID Patch ,2
