37801,93a9,D,WMFR Trng-1,Training 1 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37802,93aa,D,WMFR Trng-2,Training 2 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37803,93ab,D,WMFR Trng-3,Training 3 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37804,93ac,D,WMFRCmTrng,Communications Training ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37807,93af,D,WMFR Trng,Training Channel ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37808,93b0,D,WMFR Trng-4,Training 4 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37816,93b8,D,WMFRFleetCal,Fleetwide Call ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37817,93b9,D,WM-FERN-1,Fire Emergency Radio Network Channel-1 (Link to 154.280 MHz) - West Metro Fire ,Interop ,Mutual Aid ,2
37818,93ba,D,WM-FERN-2,Fire Emergency Radio Network Channel-2 (Link to 154.295 MHz) - West Metro Fire ,Interop ,Mutual Aid ,2
37819,93bb,D,WM-FERN-3,Fire Emergency Radio Network Channel-3 (Link to 154.265 MHz) - West Metro Fire ,Interop ,Mutual Aid ,2
37821,93bd,D,FrmontFDTac1,Tactical 1 ,Fire-Tac ,Fairmount Fire Department ,2
37822,93be,D,Fairmount FD,Dispatch ,Fire Dispatch ,Fairmount Fire Department ,2
37865,9.30E+10,D,WM-AirGrnd2,Air/Ground 2 - Secondary (Link to 172.225 MHz) - West Metro Fire ,Interop ,Mutual Aid ,2
37866,93ea,D,WM-AirGrnd1,Air/Ground 1 - Primary (Link to 169.400 MHz) - West Metro Fire ,Interop ,Mutual Aid ,2
37870,93ee,D,WMFR StaCall,Fire Station Call ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37871,93ef,D,WMFR Sta 1,Fire Station 1 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37872,93f0,D,WMFR Sta 2,Fire Station 2 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37873,93f1,D,WMFR Sta 3,Fire Station 3 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37874,93f2,D,WMFR Sta 4,Fire Station 4 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37875,93f3,D,WMFR Sta 5,Fire Station 5 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37876,93f4,D,WMFR Sta 6,Fire Station 6 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37877,93f5,D,WMFR Sta 7,Fire Station 7 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37878,93f6,D,WMFR Sta 8,Fire Station 8 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37879,93f7,D,WMFR Sta 9,Fire Station 9 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37880,93f8,D,WMFR Sta 10,Fire Station 10 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37881,93f9,D,WMFR Sta 11,Fire Station 11 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37882,93fa,D,WMFR Sta 12,Fire Station 12 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37883,93fb,D,WMFR Sta 13,Fire Station 13 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37884,93fc,D,WMFR Sta 14,Fire Station 14 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
37885,93fd,D,WMFR Sta 15,Fire Station 15 ,Fire-Talk ,West Metro Fire & Wheat Ridge Fire ,2
38000,9470,T,ArvadaRadio1,Radio Maintenance 1 ,Public Works ,Arvada ,2
38001,9471,T,ArvadaRadio2,Radio Maintenance 2 ,Public Works ,Arvada ,2
38002,9472,T,ArvadaRadio3,Radio Maintenance 3 ,Public Works ,Arvada ,2
38048,94a0,DE,Arvada PD 1,Police Dispatch ,Law Dispatch ,Arvada ,2
38049,94a1,DE,Arvada Rcrds,Police Records ,Law Tac ,Arvada ,2
38050,94a2,DE,Arvada PD 1,Police PD 1 ,Law Tac ,Arvada ,2
38051,94a3,DE,Arvada PD 2,Police PD 2 ,Law Talk ,Arvada ,2
38052,94a4,DE,Arvada PD 3,Police PD 3 ,Law Tac ,Arvada ,2
38053,94a5,DE,Arvada PD 3,Police Car to Car ,Law Tac ,Arvada ,2
38054,94a6,D,Arvada ACO,Animal Control ,Law Talk ,Arvada ,2
38055,94a7,DE,Arvada PD 4,Police Tac 1 ,Law Tac ,Arvada ,2
38056,94a8,DE,Arv PD Trng,Arvada PD Training ,Law Tac ,Arvada ,2
38057,94a9,DE,Arvada PD 5,Police Tac 2 ,Law Tac ,Arvada ,2
38060,94ac,DE,Arvada PD SE,Police Special Events ,Law Talk ,Arvada ,2
38064,94b0,D,CLEER-Arvada,Colorado Law Enforcement Emergency Radio - Arvada Link ,Interop ,Mutual Aid ,2
38090,94ca,DE,Arvada PD AC,Police All Call ,Law Talk ,Arvada ,2
38150,9506,D,Arvada FD 1,Fire Dispatch ,Fire Dispatch ,Arvada ,2
38151,9507,D,Arvada FD 2,Fire Tac 2 ,Fire-Tac ,Arvada ,2
38152,9508,D,Arvada FD 3,Fire Tac 3 ,Fire-Tac ,Arvada ,2
38153,9509,D,Arvada FD 4,Fire Tac 4 ,Fire-Tac ,Arvada ,2
38154,950a,D,Arvada FD 5,Fire Tac 5 ,Fire-Tac ,Arvada ,2
38160,9510,D,Arvada FD T1,Fire Training 1 ,Fire-Talk ,Arvada ,2
38161,9511,D,Arvada FD T2,Fire Training 2 ,Fire-Talk ,Arvada ,2
38162,9512,D,Arvada FD T3,Fire Training 3 ,Fire-Talk ,Arvada ,2
38163,9513,D,Arvada FD T4,Fire Training 4 ,Fire-Talk ,Arvada ,2
38164,9514,D,Arvada FD T5,Fire Training 5 ,Fire-Talk ,Arvada ,2
38202,953a,T,Aravada Strs,Street Maintenance ,Public Works ,Arvada ,2
