4496,119,A,CMC OPS 2,Operations,Hospital,Carolina's Medical Center,2
4528,11b,A,CMC OPS 3,Operations,Hospital,Carolina's Medical Center,2
4560,11d,A,CMC OPS 4,Operations,Hospital,Carolina's Medical Center,2
4592,11f,A,CMC-LZ-1,Landing Zone Coordination,Hospital,Carolina's Medical Center,2
4624,121,A,CMC-LZ-2,Landing Zone Coordination,Hospital,Carolina's Medical Center,2
4720,127,A,Roads Maint,Road Work Crews,Public Works,Charlotte-Mecklenburg Services,2
4784,12b,A,UNC-EVNT-1,Event 1,Schools,University of North Carolina - Charlotte,2
4816,12d,A,UNC-EVNT-2,Event 2,Schools,University of North Carolina - Charlotte,2
4848,12f,A,UNC-EVNT-3,Event 3,Schools,University of North Carolina - Charlotte,2
4880,131,A,UNCPD-COMMON,Police Common,Law Tac,University of North Carolina - Charlotte,2
4912,133,A,UNCPD-PTRL-1,Police Patrol 1,Law Dispatch,University of North Carolina - Charlotte,2
4944,135,A,UNCPD-PTRL-2,Police Patrol 2,Law Tac,University of North Carolina - Charlotte,2
4976,137,A,UNCPD-CONFR,Police Conference,Law Tac,University of North Carolina - Charlotte,2
5008,139,A,UNCPD-SERVC,Police Service,Law Tac,University of North Carolina - Charlotte,2
5040,13b,A,UNCPD-TRNING,Police Training,Law Tac,University of North Carolina - Charlotte,2
5072,13d,A,UNC-LIBRARY,Library,Schools,University of North Carolina - Charlotte,2
5104,13f,A,UNC-LBRY-ADM,Library Administration,Schools,University of North Carolina - Charlotte,2
5136,141,A,UNC-LBRY-SEC,Library Security,Security,University of North Carolina - Charlotte,2
5168,143,A,UNC-LBRY-CNF,Library Conference,Schools,University of North Carolina - Charlotte,2
5392,151,A,GOVSECURTY,Charlotte Mecklenburg Government Center security,Security,Miscellaneous,2
5712,165,A,CMS-LAW-3,CMS Police 3,Law Dispatch,Charlotte-Mecklenburg Schools,2
5808,16b,A,SCHOOLMAIN,School Maintenance,Schools,Charlotte-Mecklenburg Schools,2
6192,183,A,BUSES,Buses,Transportation,Charlotte Area Transit System (CATS),2
6448,193,A,MEC EMS DSP,Mecklenburg EMS Dispatch,EMS Dispatch,Mecklenburg EMS/Fire,2
6480,195,A,MEC OPS 14,Mecklenburg Operations 14,Multi-Tac,Mecklenburg EMS/Fire,2
6512,197,A,MEC OPS 15,Mecklenburg Operations 15,Multi-Tac,Mecklenburg EMS/Fire,2
6544,199,A,MEC OPS 16,Mecklenburg Operations 16,Multi-Tac,Mecklenburg EMS/Fire,2
6576,19b,A,MEC OPS 17,Mecklenburg Operations 17,Multi-Tac,Mecklenburg EMS/Fire,2
6608,19d,A,MEC OPS 6,Mecklenburg Operations 6,Multi-Tac,Mecklenburg EMS/Fire,2
6672,1a1,A,MEC OPS 18,Mecklenburg Operations 18,Multi-Tac,Mecklenburg EMS/Fire,2
6768,1a7,A,MEC OPS 19,Mecklenburg Operations 19,Multi-Tac,Mecklenburg EMS/Fire,2
6800,1a9,A,MEC OPS 20,Mecklenburg Operations 20,Multi-Tac,Mecklenburg EMS/Fire,2
6832,1ab,A,MEC OPS 21,Mecklenburg Operations 21,Multi-Tac,Mecklenburg EMS/Fire,2
7120,1bd,A,JONSMITHPD1,Jonson C. Smith University Police Ch. 1 Main,Security,Miscellaneous,2
7152,1bf,A,JONSMITHPD2,Jonson C. Smith University Police Ch. 2,Security,Miscellaneous,2
7184,1c1,A,JONSMITHPD3,Jonson C. Smith University Police Ch. 3,Security,Miscellaneous,2
7248,1c5,A,MEC FIR DSP,Mecklenburg Fire Dispatch,Multi-Dispatch,Mecklenburg EMS/Fire,2
7280,1c7,A,MEC OPS 12,Mecklenburg Operations 12,Multi-Tac,Mecklenburg EMS/Fire,2
7312,1c9,A,MEC OPS 3,Mecklenburg Operations 3,Multi-Tac,Mecklenburg EMS/Fire,2
7344,1cb,A,MEC OPS 4,Mecklenburg Operations 4,Multi-Tac,Mecklenburg EMS/Fire,2
7376,1cd,A,MEC OPS 5,Mecklenburg Operations 5,Multi-Tac,Mecklenburg EMS/Fire,2
7408,1cf,A,MEC OPS 13,Mecklenburg Operations 13,Multi-Tac,Mecklenburg EMS/Fire,2
7440,1d1,A,MCFD-FMO,Fire Marshal,Fire-Tac,Mecklenburg EMS/Fire,2
7472,1d3,A,MEC CONF,Mecklenburg Conference,Fire-Tac,Mecklenburg EMS/Fire,2
7600,1db,A,MECKTRASH,Public Works - Sanitation,Other,Charlotte-Mecklenburg Services,2
7664,1df,A,MECKTRASH,Refuse Collection,Other,Charlotte-Mecklenburg Services,2
7728,1.00E+03,A,MECKTRASH,Refuse Collection,Other,Charlotte-Mecklenburg Services,2
7792,1.00E+07,A,REFUSE,Refuse Collection,Other,Charlotte-Mecklenburg Services,2
7824,1.00E+09,A,MECKTRASH,Refuse / Recycle Vehicles,Other,Charlotte-Mecklenburg Services,2
7856,1eb,A,MECKTRASH,Public Works - Sanitation,Other,Charlotte-Mecklenburg Services,2
7888,1ed,A,MECKTRASH,Public Works - Sanitation,Other,Charlotte-Mecklenburg Services,2
8912,22d,A,NORTH,North Divison Dispatch,Law Dispatch,Charlotte-Mecklenburg Police North Division,2
10384,289,A,CITYMANAGE,Charlotte City Management,Other,Charlotte-Mecklenburg Services,2
10544,293,A,CENTRAL,Central Divison,Law Tac,Charlotte-Mecklenburg Police Central Division,2
11280,2c1,A,RAIL-PLATFRM,Light Rail Platforms,Railroad,Charlotte Area Transit System (CATS),2
11696,2db,A,CATS,CATS,Transportation,Charlotte Area Transit System (CATS),2
11760,2df,A,LT-RAIL-OP1,Light Rail Ch. 1,Railroad,Charlotte Area Transit System (CATS),2
11792,2.00E+01,A,LT-RAIL-OP2,Light Rail Ch. 2,Railroad,Charlotte Area Transit System (CATS),2
11824,2.00E+03,A,LT-RAIL-OP3,Light Rail Ch. 3,Railroad,Charlotte Area Transit System (CATS),2
11856,2.00E+05,A,LT-RAIL-OP4,Light Rail Ch. 4,Railroad,Charlotte Area Transit System (CATS),2
