1059,423,D,CFD 2C,Charlotte Fire Ops 2C,Fire-Tac,Charlotte Fire,2
1061,425,D,CFD 2D,Charlotte Fire Ops 2D,Fire-Tac,Charlotte Fire,2
1063,427,D,CFD 2E,Charlotte Fire Ops 2E,Fire-Tac,Charlotte Fire,2
1065,429,D,CFD 2F,Charlotte Fire Ops 2F,Fire-Tac,Charlotte Fire,2
1067,42b,D,CFD 2G,Charlotte Fire Ops 2G,Fire-Tac,Charlotte Fire,2
1069,42d,D,CFD 2H,Charlotte Fire Ops 2H,Fire-Tac,Charlotte Fire,2
1071,42f,D,CFD 2I,Charlotte Fire Ops 2I,Fire-Tac,Charlotte Fire,2
1073,431,D,CFD 2J,Charlotte Fire Ops 2J,Fire-Tac,Charlotte Fire,2
1075,433,D,CFD 2K,Charlotte Fire Ops 2K,Fire-Tac,Charlotte Fire,2
1077,435,E,CFD 2CONF,Charlotte Fire Conference 2,Fire-Talk,Charlotte Fire,2
1085,43d,D,CFD 5B,Charlotte Fire Training 5B,Fire-Tac,Charlotte Fire,2
1087,43f,D,CFD 5C,Charlotte Fire Training 5C,Fire-Tac,Charlotte Fire,2
1089,441,D,CFD 5D,Charlotte Fire Training 5D,Fire-Tac,Charlotte Fire,2
1091,443,D,CFD 5E,Charlotte Fire Training 5E,Fire-Tac,Charlotte Fire,2
1093,445,D,CFD-5F,Charlotte Fire Training 5F,Fire-Tac,Charlotte Fire,2
1095,447,D,CFD 5G,Charlotte Fire Training 5G,Fire-Tac,Charlotte Fire,2
1097,449,D,CFD 5H,Charlotte Fire Training 5H,Fire-Tac,Charlotte Fire,2
1099,44b,D,CFD EMG-1,Charlotte Fire Emergency Zone 1,Fire-Tac,Charlotte Fire,2
1101,44d,D,CFD EMG-2,Charlotte Fire Emergency Zone 2,Fire-Tac,Charlotte Fire,2
1103,44f,D,CFD EMG-5,Charlotte Fire Emergency Zone 5,Fire-Tac,Charlotte Fire,2
1105,451,D,CFD EMG-6,Charlotte Fire Emergency Zone 6,Fire-Tac,Charlotte Fire,2
1107,453,D,CFD EMG-7,Charlotte Fire Emergency Zone 7,Fire-Tac,Charlotte Fire,2
1109,455,D,CFD 10LOGIS,Charlotte Fire Logistics 10,Fire-Talk,Charlotte Fire,2
1111,457,D,CFD 10ARSON,Charlotte Fire Arson 10,Fire-Talk,Charlotte Fire,2
1113,459,E,CFD 10CHIEF,Charlotte Fire Chiefs 10,Fire-Talk,Charlotte Fire,2
1115,45b,D,CFD 10PREVNT,Charlotte Fire Prevention 10,Fire-Talk,Charlotte Fire,2
1117,45d,D,CFD 10COMCTR,Charlotte Fire Communications 10,Fire-Talk,Charlotte Fire,2
1119,45f,D,CFD 10CONF,Charlotte Fire Conference 10,Fire-Talk,Charlotte Fire,2
1149,47d,D,REG EMS,Regional EMS,EMS-Tac,Systemwide,2
1151,47f,D,REG OPS 4,Regional Operations 4,Multi-Tac,Systemwide,2
1153,481,D,REG FIRE 1,Regional Fire 1,Fire-Tac,Systemwide,2
1155,483,D,REG FIRE 2,Regional Fire 2,Fire-Tac,Systemwide,2
1157,485,D,REG FIRE 3,Regional Fire 3,Fire-Tac,Systemwide,2
1159,487,D,REG LAW 1,Regional Law 1,Law Tac,Systemwide,2
1161,489,D,REG LAW 2,Regional Law 2,Law Tac,Systemwide,2
1225,4c9,D,REG CALL,Regional Calling,Multi-Tac,Systemwide,2
1227,4cb,D,REG PURS,Regional Pursuit,Law Tac,Systemwide,2
1229,4cd,D,REG OPS 1,Regional Operations 1,Multi-Tac,Systemwide,2
1231,4cf,D,REG OPS 2,Regional Operations 2,Multi-Tac,Systemwide,2
1233,4d1,D,REG OPS 3,Regional Operations 3,Multi-Tac,Systemwide,2
1235,4d3,D,EVENTS-17,Mecklenburg Event 17,Multi-Talk,Mecklenburg Common/Mutual Aid,2
1237,4d5,D,EVENTS-18,Mecklenburg Event 18,Multi-Talk,Mecklenburg Common/Mutual Aid,2
1239,4d7,D,EVENTS-19,Mecklenburg Event 19,Multi-Talk,Mecklenburg Common/Mutual Aid,2
1241,4d9,D,EVENTS-20,Mecklenburg Event 20,Multi-Talk,Mecklenburg Common/Mutual Aid,2
1243,4db,D,EVENTS-21,Mecklenburg Event 21,Multi-Talk,Mecklenburg Common/Mutual Aid,2
1245,4dd,D,EVENTS-22,Mecklenburg Event 22,Multi-Talk,Mecklenburg Common/Mutual Aid,2
1247,4df,D,EVENTS-23,Mecklenburg Event 23,Multi-Talk,Mecklenburg Common/Mutual Aid,2
1249,40,D,EVENTS-24,Mecklenburg Event 24,Multi-Talk,Mecklenburg Common/Mutual Aid,2
1251,4000,D,EVENTS-25,Mecklenburg Event 25,Multi-Talk,Mecklenburg Common/Mutual Aid,2
1253,400000,D,EVENTS-26,Mecklenburg Event 26,Multi-Talk,Mecklenburg Common/Mutual Aid,2
1255,40000000,D,EVENTS-27,Mecklenburg Event 27,Multi-Talk,Mecklenburg Common/Mutual Aid,2
1257,4000000000,D,EVENTS-28,Mecklenburg Event 28,Multi-Talk,Mecklenburg Common/Mutual Aid,2
1259,4eb,D,EVENTS-29,Mecklenburg Event 29,Multi-Talk,Mecklenburg Common/Mutual Aid,2
1261,4ed,D,EVENTS-30,Mecklenburg Event 30,Multi-Talk,Mecklenburg Common/Mutual Aid,2
1263,4ef,D,EVENTS-31,Mecklenburg Event 31,Multi-Talk,Mecklenburg Common/Mutual Aid,2
1265,4f1,D,EVENTS-32,Mecklenburg Event 32,Multi-Talk,Mecklenburg Common/Mutual Aid,2
1267,4f3,D,NTH-LAKES,North Lakes,Multi-Tac,Mecklenburg Common/Mutual Aid,2
1269,4f5,D,STH-LAKES,South Lakes,Multi-Tac,Mecklenburg Common/Mutual Aid,2
1273,4f9,E,BOMB-1,CMPD Bomb Squad 1,Law Tac,Charlotte-Mecklenburg Police Special Operations,2
1301,515,D,CFD 5I,Charlotte Fire Training 5I,Fire-Tac,Charlotte Fire,2
1303,517,D,CFD 5J,Charlotte Fire Training 5J,Fire-Tac,Charlotte Fire,2
1305,519,D,CFD 5K,Charlotte Fire Training 5K,Fire-Tac,Charlotte Fire,2
1307,51b,D,CFD 5CONF,Charlotte Fire Conference 5,Fire-Talk,Charlotte Fire,2
1309,51d,D,CFD EMG-9,Charlotte Fire Emergency Zone 9,Fire-Tac,Charlotte Fire,2
1329,531,D,CFD 10ADMIN,Charlotte Fire Administration 10,Fire-Talk,Charlotte Fire,2
1557,615,D,MCSO-DISP,Mecklenburg Sheriff Dispatch,Law Dispatch,Mecklenburg Sheriff Patrol,2
1559,617,D,MCSO-2,Mecklenburg Sheriff 2,Law Tac,Mecklenburg Sheriff Patrol,2
1627,65b,D,DVDPD-1,Davidson Police Dispatch 1,Law Dispatch,Charlotte-Mecklenburg Police North Division,2
1629,65d,D,DVDPD-2,Davidson Police Dispatch 2,Law Dispatch,Charlotte-Mecklenburg Police North Division,2
1635,663,D,NM LAW 1,North Meck Law Dispatch 1,Law Dispatch,North Mecklenburg Law,2
1675,68b,D,CMS-LAW-1,CMS Police 1,Law Dispatch,Charlotte-Mecklenburg Schools,2
1677,68d,D,CMS-LAW-2,CMS Police 2,Law Dispatch,Charlotte-Mecklenburg Schools,2
1679,68f,D,RADIO A,Radio Service A,Business,Radio Service,2
1681,691,D,RADIO B,Radio Service B,Business,Radio Service,2
1779,6f3,D,AC-DISP,CMPD Animal Control Dispatch,Law Dispatch,Charlotte-Mecklenburg Police Animal Control,2
1871,74f,D,AC-CONF,CMPD Animal Control Conference,Law Talk,Charlotte-Mecklenburg Police Animal Control,2
2001,7d1,D,MECK-ABC-1,Mecklenburg ABC 1,Law Talk,Mecklenburg Alcoholic Beverage Control,2
2003,7d3,D,MECK-ABC-2,Mecklenburg ABC 2,Law Talk,Mecklenburg Alcoholic Beverage Control,2
2085,825,D,MATTFD-OPS1,Matthews Fire Operations 1,Fire-Tac,Matthews Fire,2
2101,835,D,MHPD DISP,Mint Hill Police Dispatch,Law Dispatch,Mint Hill Police,2
2149,865,D,CATS-SEC,CATS Security,Transportation,Charlotte Area Transit System (CATS),2
4063,fdf,D,RADIO D,Radio Service D,Business,Radio Service,2
7000,1b58,D,CCSO-DISP,Cabarrus Sheriff Dispatch ,Law Dispatch,Cabarrus Sheriff,2
7001,1b59,D,CCSO-ANLCTL,Cabarrus Sheriff Animal Control,Law Dispatch,Cabarrus Sheriff,2
7002,1b5a,D,CCSO-TAC3,Cabarrus Sheriff Tactical 3,Law Tac,Cabarrus Sheriff,2
7003,1b5b,D,CCSO-TAC4,Cabarrus Sheriff Tactical 4,Law Tac,Cabarrus Sheriff,2
7004,1b5c,D,CCSO-TAC5,Cabarrus Sheriff Tactical 5,Law Tac,Cabarrus Sheriff,2
7005,1b5d,D,CCSO-TAC6,Cabarrus Sheriff Tactical 6,Law Tac,Cabarrus Sheriff,2
7006,1b5e,D,CCSO-INV1,Cabarrus Sheriff Investigations 1,Law Tac,Cabarrus Sheriff,2
7007,1b5f,D,CCSO-JAIL1,Cabarrus Sheriff Jail 1,Corrections,Cabarrus Sheriff,2
7008,1b60,D,CCSO-JAIL2,Cabarrus Sheriff Jail 2,Corrections,Cabarrus Sheriff,2
7009,1b61,D,CCSO-CIVIL,Cabarrus Sheriff Civil,Law Tac,Cabarrus Sheriff,2
7010,1b62,D,CCSO-COURT,Cabarrus Sheriff Court Security,Law Tac,Cabarrus Sheriff,2
7013,1b65,D,CCSO-ATG,Cabarrus Sheriff All-Talkgroup,Law Dispatch,Cabarrus Sheriff,2
7014,1b66,D,CPD-DISP1,Concord Police Dispatch 1,Law Dispatch,Concord Police,2
